name,country,subcountry
São João del Rei,Brazil,Minas Gerais
São João da Boa Vista,Brazil,São Paulo
São João da Barra,Brazil,Rio de Janeiro
São Jerônimo,Brazil,Rio Grande do Sul
São Gotardo,Brazil,Minas Gerais
São Gonçalo do Sapucaí,Brazil,Minas Gerais
São Gabriel,Brazil,Rio Grande do Sul
São Francisco do Sul,Brazil,Santa Catarina
São Francisco do Conde,Brazil,Bahia
São Francisco,Brazil,Minas Gerais
São Fidélis,Brazil,Rio de Janeiro
São Cristóvão,Brazil,Sergipe
São Carlos,Brazil,São Paulo
São Caetano do Sul,Brazil,São Paulo
São Borja,Brazil,Rio Grande do Sul
São Bernardo do Campo,Brazil,São Paulo
São Bento do Sul,Brazil,Santa Catarina
Santos Dumont,Brazil,Minas Gerais
Santos,Brazil,São Paulo
Santo Estêvão,Brazil,Bahia
Santo Antônio do Monte,Brazil,Minas Gerais
Santo Antônio do Amparo,Brazil,Minas Gerais
Santo Antônio de Posse,Brazil,São Paulo
Santo Antônio de Pádua,Brazil,Rio de Janeiro
Santo Antônio de Jesus,Brazil,Bahia
Santo Antônio da Platina,Brazil,Paraná
Santo Ângelo,Brazil,Rio Grande do Sul
Santo André,Brazil,São Paulo
Santo Anastácio,Brazil,São Paulo
Santo Amaro da Imperatriz,Brazil,Santa Catarina
Santo Amaro,Brazil,Bahia
Santiago,Brazil,Rio Grande do Sul
Santa Vitória do Palmar,Brazil,Rio Grande do Sul
Santa Rosa de Viterbo,Brazil,São Paulo
Santa Rosa,Brazil,Rio Grande do Sul
Santa Rita do Sapucaí,Brazil,Minas Gerais
Santa Rita do Passa Quatro,Brazil,São Paulo
Santana do Paraíso,Brazil,Minas Gerais
Santana do Livramento,Brazil,Rio Grande do Sul
Santana de Parnaíba,Brazil,São Paulo
Santa Maria da Vitória,Brazil,Bahia
Santa Maria,Brazil,Rio Grande do Sul
Santa Luzia,Brazil,Minas Gerais
Santaluz,Brazil,Bahia
Santa Isabel,Brazil,São Paulo
Santa Helena de Goiás,Brazil,Goiás
Santa Gertrudes,Brazil,São Paulo
Santa Fé do Sul,Brazil,São Paulo
Santa Cruz do Sul,Brazil,Rio Grande do Sul
Santa Cruz do Rio Pardo,Brazil,São Paulo
Santa Cruz das Palmeiras,Brazil,São Paulo
Santa Cruz Cabrália,Brazil,Bahia
Santa Cecília,Brazil,Santa Catarina
Santa Bárbara d'Oeste,Brazil,São Paulo
Salvador,Brazil,Bahia
Salto de Pirapora,Brazil,São Paulo
Salto,Brazil,São Paulo
Salinas,Brazil,Minas Gerais
Sacramento,Brazil,Minas Gerais
Ruy Barbosa,Brazil,Bahia
Rubiataba,Brazil,Goiás
Rosário do Sul,Brazil,Rio Grande do Sul
Rondonópolis,Brazil,Mato Grosso
Rolante,Brazil,Rio Grande do Sul
Rolândia,Brazil,Paraná
Rio Verde de Mato Grosso,Brazil,Mato Grosso do Sul
Rio Real,Brazil,Bahia
Rio Pardo,Brazil,Rio Grande do Sul
Rio Negro,Brazil,Paraná
Rio Negrinho,Brazil,Santa Catarina
Rio Grande da Serra,Brazil,São Paulo
Rio Grande,Brazil,Rio Grande do Sul
Rio do Sul,Brazil,Santa Catarina
Rio de Janeiro,Brazil,Rio de Janeiro
Rio das Pedras,Brazil,São Paulo
Rio das Ostras,Brazil,Rio de Janeiro
Rio Claro,Brazil,São Paulo
Rio Brilhante,Brazil,Mato Grosso do Sul
Rio Branco do Sul,Brazil,Paraná
Rio Bonito,Brazil,Rio de Janeiro
Ribeirão Preto,Brazil,São Paulo
Ribeirão Pires,Brazil,São Paulo
Ribeirão das Neves,Brazil,Minas Gerais
Ribeirão da Ilha,Brazil,Santa Catarina
Ribeira do Pombal,Brazil,Bahia
Riachão do Jacuípe,Brazil,Bahia
Resplendor,Brazil,Minas Gerais
Resende,Brazil,Rio de Janeiro
Registro,Brazil,São Paulo
Regente Feijó,Brazil,São Paulo
Rancharia,Brazil,São Paulo
Quirinópolis,Brazil,Goiás
Queimados,Brazil,Rio de Janeiro
Quatro Barras,Brazil,Paraná
Quaraí,Brazil,Rio Grande do Sul
Prudentópolis,Brazil,Paraná
Propriá,Brazil,Sergipe
Promissão,Brazil,São Paulo
Presidente Venceslau,Brazil,São Paulo
Presidente Prudente,Brazil,São Paulo
Presidente Epitácio,Brazil,São Paulo
Prata,Brazil,Minas Gerais
Praia Grande,Brazil,São Paulo
Prado,Brazil,Bahia
Pouso Alegre,Brazil,Minas Gerais
Posse,Brazil,Goiás
Porto União,Brazil,Santa Catarina
Porto Seguro,Brazil,Bahia
Porto Ferreira,Brazil,São Paulo
Porto Feliz,Brazil,São Paulo
Porto Alegre,Brazil,Rio Grande do Sul
Portão,Brazil,Rio Grande do Sul
Porangatu,Brazil,Goiás
Pontes e Lacerda,Brazil,Mato Grosso
Ponte Nova,Brazil,Minas Gerais
Ponta Porã,Brazil,Mato Grosso do Sul
Pontal,Brazil,São Paulo
Ponta Grossa,Brazil,Paraná
Pompéu,Brazil,Minas Gerais
Pompéia,Brazil,São Paulo
Pomerode,Brazil,Santa Catarina
Poços de Caldas,Brazil,Minas Gerais
Poconé,Brazil,Mato Grosso
Poções,Brazil,Bahia
Poá,Brazil,São Paulo
Planaltina,Brazil,Goiás
Piúma,Brazil,Espírito Santo
Piuí,Brazil,Minas Gerais
Pitangui,Brazil,Minas Gerais
Pitangueiras,Brazil,São Paulo
Pitanga,Brazil,Paraná
Piritiba,Brazil,Bahia
Pires do Rio,Brazil,Goiás
Piraquara,Brazil,Paraná
Pirapozinho,Brazil,São Paulo
Pirapora,Brazil,Minas Gerais
Pirajuí,Brazil,São Paulo
Piraju,Brazil,São Paulo
Piraí do Sul,Brazil,Paraná
Piraí,Brazil,Rio de Janeiro
Pirassununga,Brazil,São Paulo
Piracicaba,Brazil,São Paulo
Piracanjuba,Brazil,Goiás
Piracaia,Brazil,São Paulo
Pinheiral,Brazil,Rio de Janeiro
Pinhão,Brazil,Paraná
Espírito Santo do Pinhal,Brazil,São Paulo
Pindobaçu,Brazil,Bahia
Pindamonhangaba,Brazil,São Paulo
Pilar do Sul,Brazil,São Paulo
Piedade,Brazil,São Paulo
Petrópolis,Brazil,Rio de Janeiro
Peruíbe,Brazil,São Paulo
Pereira Barreto,Brazil,São Paulo
Perdões,Brazil,Minas Gerais
Penha,Brazil,Santa Catarina
Penedo,Brazil,Alagoas
Penápolis,Brazil,São Paulo
Pelotas,Brazil,Rio Grande do Sul
Pedro Leopoldo,Brazil,Minas Gerais
Pedreira,Brazil,São Paulo
Pedra Azul,Brazil,Minas Gerais
Pederneiras,Brazil,São Paulo
Paulínia,Brazil,São Paulo
Patrocínio,Brazil,Minas Gerais
Patos de Minas,Brazil,Minas Gerais
Pato Branco,Brazil,Paraná
Paty do Alferes,Brazil,Rio de Janeiro
Passos,Brazil,Minas Gerais
Passo Fundo,Brazil,Rio Grande do Sul
Parobé,Brazil,Rio Grande do Sul
Paraty,Brazil,Rio de Janeiro
Paranavaí,Brazil,Paraná
Paranapanema,Brazil,São Paulo
Paranaíba,Brazil,Mato Grosso do Sul
Paranaguá,Brazil,Paraná
Paraíba do Sul,Brazil,Rio de Janeiro
Paraguaçu Paulista,Brazil,São Paulo
Paraguaçu,Brazil,Minas Gerais
Pará de Minas,Brazil,Minas Gerais
Paracatu,Brazil,Minas Gerais
Paracambi,Brazil,Rio de Janeiro
Panambi,Brazil,Rio Grande do Sul
Palotina,Brazil,Paraná
Palmital,Brazil,São Paulo
Palmeira das Missões,Brazil,Rio Grande do Sul
Palmeira,Brazil,Paraná
Palmas,Brazil,Paraná
Palhoça,Brazil,Santa Catarina
Paiçandu,Brazil,Paraná
Padre Bernardo,Brazil,Goiás
Ouro Preto,Brazil,Minas Gerais
Ouro Branco,Brazil,Minas Gerais
Ourinhos,Brazil,São Paulo
Osvaldo Cruz,Brazil,São Paulo
Osório,Brazil,Rio Grande do Sul
Osasco,Brazil,São Paulo
Orleans,Brazil,Santa Catarina
Orlândia,Brazil,São Paulo
Oliveira,Brazil,Minas Gerais
Olímpia,Brazil,São Paulo
Novo Horizonte,Brazil,São Paulo
Novo Hamburgo,Brazil,Rio Grande do Sul
Nova Viçosa,Brazil,Bahia
Nova Venécia,Brazil,Espírito Santo
Nova Prata,Brazil,Rio Grande do Sul
Nova Petrópolis,Brazil,Rio Grande do Sul
Nova Olímpia,Brazil,Mato Grosso
Nova Odessa,Brazil,São Paulo
Nova Lima,Brazil,Minas Gerais
Nova Iguaçu,Brazil,Rio de Janeiro
Nova Granada,Brazil,São Paulo
Nova Friburgo,Brazil,Rio de Janeiro
Nova Era,Brazil,Minas Gerais
Nossa Senhora do Socorro,Brazil,Sergipe
Nossa Senhora da Glória,Brazil,Sergipe
Niterói,Brazil,Rio de Janeiro
Niquelândia,Brazil,Goiás
Nilópolis,Brazil,Rio de Janeiro
Nerópolis,Brazil,Goiás
Nepomuceno,Brazil,Minas Gerais
Nazaré,Brazil,Bahia
Naviraí,Brazil,Mato Grosso do Sul
Navegantes,Brazil,Santa Catarina
Nanuque,Brazil,Minas Gerais
Muzambinho,Brazil,Minas Gerais
Muritiba,Brazil,Bahia
Muriaé,Brazil,Minas Gerais
Mucuri,Brazil,Bahia
Morro do Chapéu,Brazil,Bahia
Morro Agudo,Brazil,São Paulo
Morrinhos,Brazil,Goiás
Montes Claros,Brazil,Minas Gerais
Monte Santo de Minas,Brazil,Minas Gerais
Montenegro,Brazil,Rio Grande do Sul
Monte Mor,Brazil,São Paulo
Monte Carmelo,Brazil,Minas Gerais
Monte Azul Paulista,Brazil,São Paulo
Monte Aprazível,Brazil,São Paulo
Monte Alto,Brazil,São Paulo
Mongaguá,Brazil,São Paulo
Mogi Mirim,Brazil,São Paulo
Mogi-Gaucu,Brazil,São Paulo
Mogi das Cruzes,Brazil,São Paulo
Mococa,Brazil,São Paulo
Mirandopólis,Brazil,São Paulo
Miracema,Brazil,Rio de Janeiro
Mineiros,Brazil,Goiás
Miguel Pereira,Brazil,Rio de Janeiro
Miguelópolis,Brazil,São Paulo
Mendes,Brazil,Rio de Janeiro
Medianeira,Brazil,Paraná
Medeiros Neto,Brazil,Bahia
Mauá,Brazil,São Paulo
Matozinhos,Brazil,Minas Gerais
Mateus Leme,Brazil,Minas Gerais
Matão,Brazil,São Paulo
Mata de São João,Brazil,Bahia
Mascote,Brazil,Bahia
Martinópolis,Brazil,São Paulo
Maringá,Brazil,Paraná
Marília,Brazil,São Paulo
Maricá,Brazil,Rio de Janeiro
Mariana,Brazil,Minas Gerais
Marialva,Brazil,Paraná
Marechal Cândido Rondon,Brazil,Paraná
Marau,Brazil,Rio Grande do Sul
Marataizes,Brazil,Espírito Santo
Maragogipe,Brazil,Bahia
Maracás,Brazil,Bahia
Maracaju,Brazil,Mato Grosso do Sul
Manhumirim,Brazil,Minas Gerais
Manhuaçu,Brazil,Minas Gerais
Mangaratiba,Brazil,Rio de Janeiro
Mandaguari,Brazil,Paraná
Mairiporã,Brazil,São Paulo
Mairinque,Brazil,São Paulo
Mafra,Brazil,Santa Catarina
Machado,Brazil,Minas Gerais
Macatuba,Brazil,São Paulo
Macaé,Brazil,Rio de Janeiro
Luziânia,Brazil,Goiás
Lucas,Brazil,Mato Grosso
Louveira,Brazil,São Paulo
Lorena,Brazil,São Paulo
Londrina,Brazil,Paraná
Loanda,Brazil,Paraná
Livramento do Brumado,Brazil,Bahia
Lins,Brazil,São Paulo
Linhares,Brazil,Espírito Santo
Limeira,Brazil,São Paulo
Leopoldina,Brazil,Minas Gerais
Lençóis Paulista,Brazil,São Paulo
Leme,Brazil,São Paulo
Lavras,Brazil,Minas Gerais
Laranjeiras do Sul,Brazil,Paraná
Laranjeiras,Brazil,Sergipe
Laranjal Paulista,Brazil,São Paulo
Lapa,Brazil,Paraná
Lajinha,Brazil,Minas Gerais
Lages,Brazil,Santa Catarina
Lajeado,Brazil,Rio Grande do Sul
Laguna,Brazil,Santa Catarina
Lagoa Vermelha,Brazil,Rio Grande do Sul
Lagoa Santa,Brazil,Minas Gerais
Lagoa da Prata,Brazil,Minas Gerais
Lagarto,Brazil,Sergipe
Ladário,Brazil,Mato Grosso do Sul
Jundiaí,Brazil,São Paulo
Júlio de Castilhos,Brazil,Rio Grande do Sul
Juiz de Fora,Brazil,Minas Gerais
Juatuba,Brazil,Minas Gerais
José Bonifácio,Brazil,São Paulo
Joinville,Brazil,Santa Catarina
João Pinheiro,Brazil,Minas Gerais
João Monlevade,Brazil,Minas Gerais
Joaçaba,Brazil,Santa Catarina
Jeremoabo,Brazil,Bahia
Jequitinhonha,Brazil,Minas Gerais
Jequié,Brazil,Bahia
Jaú,Brazil,São Paulo
Jataí,Brazil,Goiás
Jarinu,Brazil,São Paulo
Jardinópolis,Brazil,São Paulo
Jardim,Brazil,Mato Grosso do Sul
Jaraguá do Sul,Brazil,Santa Catarina
Jaraguá,Brazil,Goiás
Japeri,Brazil,Rio de Janeiro
Januária,Brazil,Minas Gerais
Jandira,Brazil,São Paulo
Jandaia do Sul,Brazil,Paraná
Janaúba,Brazil,Minas Gerais
Jales,Brazil,São Paulo
Jaguariúna,Brazil,São Paulo
Jaguariaíva,Brazil,Paraná
Jaguarari,Brazil,Bahia
Jaguarão,Brazil,Rio Grande do Sul
Jaguaquara,Brazil,Bahia
Jacutinga,Brazil,Minas Gerais
Jacobina,Brazil,Bahia
Jaciara,Brazil,Mato Grosso
Jacarezinho,Brazil,Paraná
Jacareí,Brazil,São Paulo
Jaboticabal,Brazil,São Paulo
Ivoti,Brazil,Rio Grande do Sul
Ituverava,Brazil,São Paulo
Iturama,Brazil,Minas Gerais
Itupeva,Brazil,São Paulo
Itumbiara,Brazil,Goiás
Ituiutaba,Brazil,Minas Gerais
Ituberá,Brazil,Bahia
Itu,Brazil,São Paulo
Itororó,Brazil,Bahia
Itaúna,Brazil,Minas Gerais
Itatinga,Brazil,São Paulo
Itatiba,Brazil,São Paulo
Itararé,Brazil,São Paulo
Itaqui,Brazil,Rio Grande do Sul
Itaquaquecetuba,Brazil,São Paulo
Itapuranga,Brazil,Goiás
Itápolis,Brazil,São Paulo
Itapira,Brazil,São Paulo
Itapevi,Brazil,São Paulo
Itapeva,Brazil,São Paulo
Itapetininga,Brazil,São Paulo
Itapetinga,Brazil,Bahia
Itaperuna,Brazil,Rio de Janeiro
Itaperuçu,Brazil,Paraná
Itapemirim,Brazil,Espírito Santo
Itapema,Brazil,Santa Catarina
Itapecerica da Serra,Brazil,São Paulo
Itapecerica,Brazil,Minas Gerais
Itaparica,Brazil,Bahia
Itapaci,Brazil,Goiás
Itaocara,Brazil,Rio de Janeiro
Itanhaém,Brazil,São Paulo
Itambé,Brazil,Bahia
Itamarandiba,Brazil,Minas Gerais
Itamaraju,Brazil,Bahia
Itajuípe,Brazil,Bahia
Itajubá,Brazil,Minas Gerais
Itajaí,Brazil,Santa Catarina
Itaí,Brazil,São Paulo
Itaguaí,Brazil,Rio de Janeiro
Itabuna,Brazil,Bahia
Itaboraí,Brazil,Rio de Janeiro
Itabirito,Brazil,Minas Gerais
Itabira,Brazil,Minas Gerais
Itaberaí,Brazil,Goiás
Itaberaba,Brazil,Bahia
Itabaianinha,Brazil,Sergipe
Itabaiana,Brazil,Sergipe
Irecê,Brazil,Bahia
Irati,Brazil,Paraná
Iracemápolis,Brazil,São Paulo
Iporá,Brazil,Goiás
Ipirá,Brazil,Bahia
Ipiaú,Brazil,Bahia
Iperó,Brazil,São Paulo
Ipatinga,Brazil,Minas Gerais
Ipameri,Brazil,Goiás
Ipaba,Brazil,Minas Gerais
Inhumas,Brazil,Goiás
Indaiatuba,Brazil,São Paulo
Indaial,Brazil,Santa Catarina
Imbituva,Brazil,Paraná
Imbituba,Brazil,Santa Catarina
Ilhéus,Brazil,Bahia
Ilha Solteira,Brazil,São Paulo
Ilhabela,Brazil,São Paulo
Ijuí,Brazil,Rio Grande do Sul
Iguape,Brazil,São Paulo
Igrejinha,Brazil,Rio Grande do Sul
Igarapé,Brazil,Minas Gerais
Igarapava,Brazil,São Paulo
Igaraçu do Tietê,Brazil,São Paulo
Içara,Brazil,Santa Catarina
Ibotirama,Brazil,Bahia
Ibiúna,Brazil,São Paulo
Ibitinga,Brazil,São Paulo
Ibirité,Brazil,Minas Gerais
Ibirataia,Brazil,Bahia
Ibirama,Brazil,Santa Catarina
Ibiporã,Brazil,Paraná
Ibicaraí,Brazil,Bahia
Ibiá,Brazil,Minas Gerais
Ibaté,Brazil,São Paulo
Ibaiti,Brazil,Paraná
Iaçu,Brazil,Bahia
Hortolândia,Brazil,São Paulo
Herval,Brazil,Rio Grande do Sul
Gurupi,Brazil,Tocantins
Guaxupé,Brazil,Minas Gerais
Guarulhos,Brazil,São Paulo
Guarujá,Brazil,São Paulo
Guariba,Brazil,São Paulo
Guaratuba,Brazil,Paraná
Guaratinguetá,Brazil,São Paulo
Guararema,Brazil,São Paulo
Guararapes,Brazil,São Paulo
Guarapuava,Brazil,Paraná
Guarapari,Brazil,Espírito Santo
Guaranésia,Brazil,Minas Gerais
Guaramirim,Brazil,Santa Catarina
Guará,Brazil,São Paulo
Guaporé,Brazil,Rio Grande do Sul
Guapimirim,Brazil,Rio de Janeiro
Guanhães,Brazil,Minas Gerais
Guanambi,Brazil,Bahia
Guaíra,Brazil,São Paulo
Guaçuí,Brazil,Espírito Santo
Gravataí,Brazil,Rio Grande do Sul
Governador Valadares,Brazil,Minas Gerais
Goiatuba,Brazil,Goiás
Goiás,Brazil,Goiás
Goianira,Brazil,Goiás
Goiânia,Brazil,Goiás
Goianésia,Brazil,Goiás
Gaspar,Brazil,Santa Catarina
Garibaldi,Brazil,Rio Grande do Sul
Garça,Brazil,São Paulo
Gandu,Brazil,Bahia
Frutal,Brazil,Minas Gerais
Frederico Westphalen,Brazil,Rio Grande do Sul
Franco da Rocha,Brazil,São Paulo
Francisco Morato,Brazil,São Paulo
Francisco Beltrão,Brazil,Paraná
Franca,Brazil,São Paulo
Foz do Iguaçu,Brazil,Paraná
Forquilhinha,Brazil,Santa Catarina
Formosa,Brazil,Goiás
Formiga,Brazil,Minas Gerais
Florianópolis,Brazil,Santa Catarina
Flores da Cunha,Brazil,Rio Grande do Sul
Ferraz de Vasconcelos,Brazil,São Paulo
Fernandópolis,Brazil,São Paulo
Feira de Santana,Brazil,Bahia
Farroupilha,Brazil,Rio Grande do Sul
Euclides da Cunha,Brazil,Bahia
Estrela,Brazil,Rio Grande do Sul
Esteio,Brazil,Rio Grande do Sul
Estância Velha,Brazil,Rio Grande do Sul
Estância,Brazil,Sergipe
Esplanada,Brazil,Bahia
Espinosa,Brazil,Minas Gerais
Esmeraldas,Brazil,Minas Gerais
Erechim,Brazil,Rio Grande do Sul
Entre Rios,Brazil,Bahia
Encruzilhada do Sul,Brazil,Rio Grande do Sul
Encantado,Brazil,Rio Grande do Sul
Embu Guaçu,Brazil,São Paulo
Embu,Brazil,São Paulo
Elói Mendes,Brazil,Minas Gerais
Duque de Caxias,Brazil,Rio de Janeiro
Dourados,Brazil,Mato Grosso do Sul
Dom Pedrito,Brazil,Rio Grande do Sul
Dois Vizinhos,Brazil,Paraná
Dois Córregos,Brazil,São Paulo
Divinópolis,Brazil,Minas Gerais
Diamantino,Brazil,Mato Grosso
Diamantina,Brazil,Minas Gerais
Diadema,Brazil,São Paulo
Descalvado,Brazil,São Paulo
Curvelo,Brazil,Minas Gerais
Curitibanos,Brazil,Santa Catarina
Curitiba,Brazil,Paraná
Cuiabá,Brazil,Mato Grosso
Cubatão,Brazil,São Paulo
Cruzeiro do Oeste,Brazil,Paraná
Cruzeiro,Brazil,São Paulo
Cruz das Almas,Brazil,Bahia
Cruz Alta,Brazil,Rio Grande do Sul
Cristalina,Brazil,Goiás
Criciúma,Brazil,Santa Catarina
Cravinhos,Brazil,São Paulo
Coxim,Brazil,Mato Grosso do Sul
Cotia,Brazil,São Paulo
Cosmópolis,Brazil,São Paulo
Coruripe,Brazil,Alagoas
Corumbá,Brazil,Mato Grosso do Sul
Coronel Vivida,Brazil,Paraná
Coronel Fabriciano,Brazil,Minas Gerais
Coromandel,Brazil,Minas Gerais
Cornélio Procópio,Brazil,Paraná
Corinto,Brazil,Minas Gerais
Cordeirópolis,Brazil,São Paulo
Cordeiro,Brazil,Rio de Janeiro
Contagem,Brazil,Minas Gerais
Conselheiro Lafaiete,Brazil,Minas Gerais
Congonhas,Brazil,Minas Gerais
Conde,Brazil,Bahia
Concórdia,Brazil,Santa Catarina
Conchal,Brazil,São Paulo
Conceição do Coité,Brazil,Bahia
Conceição do Jacuípe,Brazil,Bahia
Conceição das Alagoas,Brazil,Minas Gerais
Conceição da Feira,Brazil,Bahia
Conceição da Barra,Brazil,Espírito Santo
Colorado,Brazil,Paraná
Colombo,Brazil,Paraná
Colatina,Brazil,Espírito Santo
Coaraci,Brazil,Bahia
Cláudio,Brazil,Minas Gerais
Cícero Dantas,Brazil,Bahia
Cianorte,Brazil,Paraná
Charqueadas,Brazil,Rio Grande do Sul
Chapecó,Brazil,Santa Catarina
Cerquilho,Brazil,São Paulo
Ceres,Brazil,Goiás
Celso Ramos,Brazil,Santa Catarina
Caxias do Sul,Brazil,Rio Grande do Sul
Caxambu,Brazil,Minas Gerais
Catu,Brazil,Bahia
Catanduva,Brazil,São Paulo
Catalão,Brazil,Goiás
Cataguases,Brazil,Minas Gerais
Castro,Brazil,Paraná
Castelo,Brazil,Espírito Santo
Cassilândia,Brazil,Mato Grosso do Sul
Casimiro de Abreu,Brazil,Rio de Janeiro
Cascavel,Brazil,Paraná
Casa Branca,Brazil,São Paulo
Carmo do Paranaíba,Brazil,Minas Gerais
Carmo do Cajuru,Brazil,Minas Gerais
Carlos Barbosa,Brazil,Rio Grande do Sul
Carazinho,Brazil,Rio Grande do Sul
Caratinga,Brazil,Minas Gerais
Carapicuíba,Brazil,São Paulo
Carangola,Brazil,Minas Gerais
Carandaí,Brazil,Minas Gerais
Caraguatatuba,Brazil,São Paulo
Capivari,Brazil,São Paulo
Capinzal,Brazil,Santa Catarina
Capim Grosso,Brazil,Bahia
Capelinha,Brazil,Minas Gerais
Capela,Brazil,Sergipe
Capão da Canoa,Brazil,Rio Grande do Sul
Capâo Bonito,Brazil,São Paulo
Canoinhas,Brazil,Santa Catarina
Canoas,Brazil,Rio Grande do Sul
Canguçu,Brazil,Rio Grande do Sul
Canela,Brazil,Rio Grande do Sul
Cândido Mota,Brazil,São Paulo
Candelária,Brazil,Rio Grande do Sul
Canavieiras,Brazil,Bahia
Campo Verde,Brazil,Mato Grosso do Sul
Campos Novos,Brazil,Santa Catarina
Campos Gerais,Brazil,Minas Gerais
Campos do Jordão,Brazil,São Paulo
Campos Belos,Brazil,Goiás
Campos,Brazil,Rio de Janeiro
Campo Mourão,Brazil,Paraná
Campo Largo,Brazil,Paraná
Campo Grande,Brazil,Mato Grosso do Sul
Campo Formoso,Brazil,Bahia
Campo Belo,Brazil,Minas Gerais
Campinas,Brazil,São Paulo
Campina Grande do Sul,Brazil,Paraná
Cambuí,Brazil,Minas Gerais
Cambé,Brazil,Paraná
Cambará,Brazil,Paraná
Camaquã,Brazil,Rio Grande do Sul
Camanducaia,Brazil,Minas Gerais
Camaçari,Brazil,Bahia
Caldas Novas,Brazil,Goiás
Cajuru,Brazil,São Paulo
Cajati,Brazil,São Paulo
Cajamar,Brazil,São Paulo
Caieiras,Brazil,São Paulo
Caetité,Brazil,Bahia
Caeté,Brazil,Minas Gerais
Cachoeiro de Itapemirim,Brazil,Espírito Santo
Cachoeirinha,Brazil,Rio Grande do Sul
Cachoeiras de Macacu,Brazil,Rio de Janeiro
Cachoeira do Sul,Brazil,Rio Grande do Sul
Cachoeira,Brazil,Bahia
Caçapava do Sul,Brazil,Rio Grande do Sul
Caçapava,Brazil,São Paulo
Caçador,Brazil,Santa Catarina
Cabreúva,Brazil,São Paulo
Cabo Frio,Brazil,Rio de Janeiro
Butiá,Brazil,Rio Grande do Sul
Buritizeiro,Brazil,Minas Gerais
Buritis,Brazil,Minas Gerais
Buri,Brazil,São Paulo
Buerarema,Brazil,Bahia
Brusque,Brazil,Santa Catarina
Brumado,Brazil,Bahia
Brumadinho,Brazil,Minas Gerais
Brotas,Brazil,São Paulo
Brodósqui,Brazil,São Paulo
Brasília,Brazil,Federal District
Bragança Paulista,Brazil,São Paulo
Braço do Norte,Brazil,Santa Catarina
Botucatu,Brazil,São Paulo
Bom Jesus do Itabapoana,Brazil,Rio de Janeiro
Bom Jesus da Lapa,Brazil,Bahia
Bom Despacho,Brazil,Minas Gerais
Boituva,Brazil,São Paulo
Bocaiúva,Brazil,Minas Gerais
Boa Esperança,Brazil,Minas Gerais
